Gerät,Patch Date,Patch Level Status: Compliant (Last 2 Months)
ITNO-LT-DEV04,September 2025,true
ITNO-LT-DEV06,September 2025,true
ITNO-LT-DEV03,September 2025,true
ITNO-LT-DEV02,September 2025,true
ITNO-LT-DEV01,September 2025,true
ATSE-LT-SV07,September 2025,true
ATSE-LT-ETECH02,September 2025,true
ATSE-LT-EDV05,September 2025,true
TKIS-LT-VK01,September 2025,true
ATSE-LT-VK06,September 2025,true
ATSE-LT-EDV33,September 2025,true
DECE-LT-DEV07,September 2025,true
ATSE-LT-AV13,September 2025,true
ATSE-LT-EK03,September 2025,true
ATSE-LT-CO01,September 2025,true
UAKI-LT-VK01,July 2025,true
UKTE-LT-SW01,September 2025,true
ATSE-LT-ETECH08,September 2025,true
ATSE-LT-SV02,September 2025,true
ATSE-LT-ETECH09,September 2025,true
ATSE-LT-LBS42,September 2025,true
ATSE-LT-LL07,September 2025,true
ATSE-LT-EDV69,September 2025,true
ATSE-CL-INSTH11,September 2025,true
UKTE-LT-SW02,September 2025,true
ATSE-LT-CAD059,September 2025,true
ESCO-LT-SW02,September 2025,true
ATSE-CL-PAN102,September 2025,true
ITNO-LT-SW02,September 2025,true
ITNO-LT-ADM01,September 2025,true
ATSE-LT-CO13,September 2025,true
ATSE-LT-REC09,August 2025,true
ITNO-LT-SV01,September 2025,true
ATSE-SOSO1,September 2025,true
ATSE-LT-LL01,September 2025,true
ATSE-LT-SV19,August 2025,true
ATSE-LT-PDTM15,September 2025,true
ATSE-VDI-CAD07,August 2025,true
ATSE-VDI-CAD06,July 2025,true
ATSE-LT-MONT113,July 2025,true
ATSE-LT-FF01,September 2025,true
ATSE-LT-CAD062,September 2025,true
ATSE-LT-PROD018,September 2025,true
DEKA-LT-SW01,September 2025,true
ATSE-CL-MAG05,September 2025,true
ATSE-LT-SV42,August 2025,true
ATSE-LT-EDV10,September 2025,true
ATSE-LT-GF03,September 2025,true
ATSE-LT-EDV24,September 2025,true
ATSE-TEST-W10D1,July 2025,true
ATSE-LT-PROD015,September 2025,true
DEKA-LT-MONT04,September 2025,true
UKTE-LT-SV06,August 2025,true
ATSE-LT-LV11,September 2025,true
ATSE-CL-MAG67,September 2025,true
ATSE-CL-NC005,September 2025,true
ATSE-LT-MAG16,September 2025,true
ATSE-VM-SVPC30,August 2025,true
ATSE-VM-SVPC27,June 2025,false
ATSE-VM-SVPC20,September 2025,true
ATSE-VM-SVPC24,June 2025,false
ATSE-VM-SVPC22,September 2025,true
ATSE-VM-SVPC21,August 2025,true
ATSE-VM-SVPC28,August 2025,true
ATSE-VM-SVPC25,June 2025,false
ATSE-VM-SVPC26,June 2025,false
ATSE-VM-SVPC23,June 2025,false
ATSE-VM-SVPC29,June 2025,false
ESCO-LT-SW15,August 2025,true
UKTE-CL-WH01,September 2025,true
ATSE-CL-BDE0543,September 2025,true
AUBE-LT-ACC08,September 2025,true
ATSE-CL-SV09,September 2025,true
ATSE-CL-SL02,September 2025,true
ATSE-CL-MAG37,September 2025,true
ATSE-LT-EDV85,September 2025,true
ATSE-LT-DEV03,September 2025,true
ATSE-LT-PRODM02,September 2025,true
ATSE-CL-MAG24,September 2025,true
AEDU2-LT-SERV63,September 2025,true
ATSE-LT-LBA01,September 2025,true
ATSE-LT-BH35,September 2025,true
AEDU2-LT-SERV65,September 2025,true
